,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Bosnia & Herzegovina,1618,UEFA,B,57.4,15.0,3.1,0.4,0.0,0.0,0.49,0.36,0.17,0.06,0.0,0.0
Iraq,1620,AFC,I,17.9,4.6,1.0,0.2,0.0,0.0,0.38,0.21,0.1,0.04,0.0,0.0
Tunisia,1680,CAF,F,42.5,11.8,3.4,0.8,0.2,0.0,0.49,0.32,0.18,0.09,0.04,0.0
Haiti,1520,CONCACAF,C,18.7,2.8,0.5,0.0,0.0,0.0,0.39,0.16,0.07,0.0,0.0,0.0
Paraguay,1724,CONMEBOL,D,30.5,10.2,2.3,0.6,0.2,0.0,0.46,0.3,0.15,0.08,0.04,0.0
Cabo Verde,1500,CAF,H,16.6,1.8,0.2,0.0,0.0,0.0,0.37,0.13,0.04,0.0,0.0,0.0
Saudi Arabia,1620,AFC,H,41.7,7.6,1.9,0.3,0.0,0.0,0.49,0.26,0.14,0.05,0.0,0.0
Côte d'Ivoire,1690,CAF,E,66.4,19.2,5.2,1.1,0.2,0.0,0.47,0.39,0.22,0.1,0.04,0.0
New Zealand,1530,OFC,G,26.8,5.0,0.6,0.1,0.0,0.0,0.44,0.22,0.08,0.03,0.0,0.0
Sweden,1700,UEFA,F,49.4,14.2,4.3,0.9,0.2,0.0,0.5,0.35,0.2,0.09,0.04,0.0
Ghana,1640,CAF,L,38.3,7.6,1.6,0.4,0.1,0.0,0.49,0.26,0.13,0.06,0.03,0.0
