,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Czechia,1728,UEFA,A,57.3,24.0,7.4,1.4,0.4,0.1,1.11,0.95,0.59,0.26,0.14,0.07
Bosnia & Herzegovina,1618,UEFA,B,55.9,15.0,2.7,0.3,0.0,0.0,1.11,0.8,0.36,0.12,0.0,0.0
Panama,1600,CONCACAF,L,29.2,4.7,1.0,0.2,0.0,0.0,1.02,0.47,0.22,0.1,0.0,0.0
South Africa,1542,CAF,A,18.6,3.8,0.5,0.2,0.0,0.0,0.87,0.43,0.16,0.1,0.0,0.0
DR Congo,1720,CAF,K,48.8,13.8,3.8,0.9,0.2,0.0,1.12,0.77,0.43,0.21,0.1,0.0
Uzbekistan,1660,AFC,K,29.6,6.8,1.6,0.4,0.2,0.0,1.02,0.56,0.28,0.14,0.1,0.0
Qatar,1563,AFC,B,50.7,11.1,1.6,0.3,0.0,0.0,1.12,0.7,0.28,0.12,0.0,0.0
Jordan,1680,AFC,J,36.9,6.4,1.8,0.3,0.0,0.0,1.08,0.55,0.3,0.12,0.0,0.0
Curaçao,1432,CONCACAF,E,5.1,0.4,0.0,0.0,0.0,0.0,0.49,0.14,0.0,0.0,0.0,0.0
Iraq,1620,AFC,I,17.6,4.9,0.8,0.1,0.0,0.0,0.85,0.48,0.2,0.07,0.0,0.0
Côte d'Ivoire,1690,CAF,E,67.6,21.0,6.0,1.5,0.2,0.0,1.05,0.91,0.53,0.27,0.1,0.0
Scotland,1744,UEFA,C,85.5,27.8,9.3,3.0,0.5,0.0,0.79,1.0,0.65,0.38,0.16,0.0
Haiti,1506,CONCACAF,C,7.0,0.8,0.0,0.0,0.0,0.0,0.57,0.2,0.0,0.0,0.0,0.0
Cabo Verde,1500,CAF,H,14.7,1.9,0.3,0.0,0.0,0.0,0.79,0.31,0.12,0.0,0.0,0.0
Saudi Arabia,1620,AFC,H,37.8,7.8,1.8,0.1,0.0,0.0,1.08,0.6,0.3,0.07,0.0,0.0
Paraguay,1724,CONMEBOL,D,30.0,10.1,2.9,0.7,0.1,0.0,1.02,0.67,0.38,0.19,0.07,0.0
New Zealand,1530,OFC,G,27.1,5.3,0.5,0.0,0.0,0.0,0.99,0.5,0.16,0.0,0.0,0.0
Sweden,1700,UEFA,F,49.2,14.6,4.0,0.8,0.2,0.0,1.12,0.79,0.44,0.2,0.1,0.0
Tunisia,1680,CAF,F,43.2,11.1,2.8,0.4,0.0,0.0,1.11,0.7,0.37,0.14,0.0,0.0
Ghana,1640,CAF,L,38.2,8.4,2.3,0.2,0.0,0.0,1.09,0.62,0.34,0.1,0.0,0.0
