,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Iran,1783,AFC,G,89.3,32.0,10.2,2.8,0.8,0.2,0.31,0.47,0.3,0.16,0.09,0.04
Côte d'Ivoire,1739,CAF,E,100.0,28.6,7.6,2.3,0.5,0.2,0.0,0.45,0.26,0.15,0.07,0.04
Austria,1816,UEFA,J,77.6,15.6,6.1,2.3,0.8,0.2,0.42,0.36,0.24,0.15,0.09,0.04
Egypt,1757,CAF,G,100.0,48.8,8.9,3.1,1.0,0.2,0.0,0.5,0.28,0.17,0.1,0.04
Paraguay,1763,CONMEBOL,D,100.0,24.2,7.8,3.0,0.9,0.2,0.0,0.43,0.27,0.17,0.09,0.04
South Korea,1736,AFC,A,37.7,14.2,5.2,1.3,0.4,0.1,0.48,0.35,0.22,0.11,0.06,0.03
DR Congo,1728,CAF,K,45.8,10.0,3.2,0.9,0.2,0.1,0.5,0.3,0.18,0.09,0.04,0.03
Sweden,1740,UEFA,F,100.0,23.7,5.8,1.9,0.4,0.1,0.0,0.43,0.23,0.14,0.06,0.03
Ghana,1691,CAF,L,100.0,20.1,4.8,1.2,0.3,0.1,0.0,0.4,0.21,0.11,0.05,0.03
South Africa,1604,CAF,A,100.0,31.6,5.2,0.9,0.2,0.0,0.0,0.46,0.22,0.09,0.04,0.0
Uzbekistan,1631,AFC,K,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Czechia,1680,UEFA,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,1566,CONCACAF,L,0.6,0.1,0.0,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0
Jordan,1631,AFC,J,0.7,0.2,0.1,0.0,0.0,0.0,0.08,0.04,0.03,0.0,0.0,0.0
Türkiye,1821,UEFA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1487,AFC,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,1572,AFC,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia & Herzegovina,1633,UEFA,B,100.0,20.3,5.3,0.6,0.1,0.0,0.0,0.4,0.22,0.08,0.03,0.0
Cabo Verde,1558,CAF,H,100.0,4.6,1.2,0.3,0.0,0.0,0.0,0.21,0.11,0.05,0.0,0.0
Saudi Arabia,1627,AFC,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,1839,CONMEBOL,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,1490,CONCACAF,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,1510,OFC,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,1597,CAF,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,1442,CONCACAF,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,1704,UEFA,C,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
