match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,actual,score,played
34,E,Germany,Côte d'Ivoire,52.6,26.5,20.9,65.1,20.1,14.8,H,2-1,1
35,E,Ecuador,Curaçao,81.9,13.1,5.0,86.7,9.7,3.5,D,0-0,1
36,F,Tunisia,Japan,11.7,20.9,67.3,13.6,23.2,63.1,A,0-4,1
37,H,Spain,Saudi Arabia,87.4,9.5,3.1,89.0,8.2,2.8,H,4-0,1
38,G,Belgium,Iran,42.5,28.6,28.9,68.1,20.2,11.8,D,0-0,1
39,H,Uruguay,Cabo Verde,65.8,21.6,12.6,66.8,22.5,10.7,D,2-2,1
40,G,New Zealand,Egypt,14.6,23.1,62.3,15.5,23.3,61.3,A,1-3,1
41,J,Argentina,Austria,70.9,19.2,9.9,64.6,22.8,12.6,H,2-0,1
42,I,France,Iraq,88.7,8.6,2.7,94.7,4.8,0.4,H,3-0,1
43,I,Norway,Senegal,43.5,28.4,28.0,41.8,27.9,30.3,H,3-2,1
44,J,Jordan,Algeria,19.4,25.8,54.8,14.2,22.1,63.7,A,1-2,1
45,K,Portugal,Uzbekistan,75.6,16.7,7.7,84.9,11.1,4.0,H,5-0,1
46,L,England,Ghana,75.2,16.9,7.8,82.0,13.0,5.1,D,0-0,1
47,L,Panama,Croatia,8.4,17.6,74.0,13.1,22.0,64.8,A,0-1,1
48,K,Colombia,DR Congo,63.1,22.8,14.1,63.2,23.5,13.3,H,1-0,1
49,B,Switzerland,Canada,49.9,27.2,22.9,40.7,30.7,28.5,H,2-1,1
50,B,Bosnia & Herzegovina,Qatar,51.2,26.8,21.9,69.6,18.0,12.4,H,3-1,1
51,C,Scotland,Brazil,11.9,21.1,67.0,9.6,17.3,73.0,A,0-3,1
52,C,Morocco,Haiti,77.4,15.7,6.9,82.5,12.5,5.0,H,4-2,1
53,A,Czechia,Mexico,13.7,22.5,63.7,25.4,24.6,50.0,A,0-3,1
54,A,South Africa,South Korea,23.1,27.2,49.6,17.3,24.7,58.0,H,1-0,1
55,E,Ecuador,Germany,35.3,29.1,35.7,16.6,19.1,64.3,H,2-1,1
56,E,Curaçao,Côte d'Ivoire,11.7,20.8,67.5,4.3,10.9,84.8,A,0-2,1
57,F,Japan,Sweden,51.8,26.7,21.5,52.1,26.9,20.9,D,1-1,1
58,F,Tunisia,Netherlands,7.2,16.1,76.7,2.6,8.0,89.4,A,1-3,1
59,D,Türkiye,United States,26.0,28.0,46.0,24.3,23.0,52.7,H,3-2,1
60,D,Paraguay,Australia,34.3,29.0,36.7,33.5,42.8,23.7,D,0-0,1
61,I,Norway,France,17.9,25.1,57.0,19.1,20.1,60.8,A,1-4,1
62,I,Senegal,Iraq,65.5,21.7,12.7,79.6,13.6,6.8,H,5-0,1
63,H,Cabo Verde,Saudi Arabia,28.8,28.6,42.7,36.2,28.8,34.9,D,0-0,1
64,H,Uruguay,Spain,10.5,19.8,69.7,13.2,23.8,63.0,A,0-1,1
65,G,Egypt,Iran,32.9,29.0,38.1,38.5,36.7,24.8,D,1-1,1
66,G,New Zealand,Belgium,9.4,18.7,71.8,5.2,11.6,83.2,A,1-5,1
67,L,Panama,England,3.9,11.2,84.9,5.0,10.6,84.4,A,0-2,1
68,L,Croatia,Ghana,62.0,23.2,14.8,50.9,30.4,18.8,H,2-1,1
69,K,Colombia,Portugal,39.4,28.9,31.7,27.1,24.8,48.1,D,0-0,1
70,K,DR Congo,Uzbekistan,53.0,26.3,20.6,60.4,22.8,16.9,H,3-1,1
71,J,Algeria,Austria,34.4,29.1,36.5,22.8,44.7,32.6,D,3-3,1
72,J,Jordan,Argentina,3.3,10.0,86.7,4.5,10.6,85.0,A,1-3,1
